Gene,Function
SPU_000002,SensoryGPCR
SPU_000005,NucleicAcid
SPU_000006,ImmuneSystem
SPU_000007,Signaling
SPU_000009,Unclassified
SPU_000010,NucleicAcid
SPU_000011,NucleicAcid
SPU_000012,Metabolism
SPU_000014,Ubiquitin
SPU_000015,ImmuneSystem
SPU_000017,ZincFinger
SPU_000021,Chaperone
SPU_000022,Metabolism
SPU_000025,Channel
SPU_000026,Metabolism
SPU_000028,Transferase
SPU_000029,DNA
SPU_000030,Nervous
SPU_000032,Apoptosis
SPU_000033,Unclassified
SPU_000035,Unclassified
SPU_000036,Metabolism
SPU_000038,Transporter
SPU_000041,BloodProtein
SPU_000042,Unclassified
SPU_000045,BloodProtein
SPU_000046,DNA
SPU_000048,Metabolism
SPU_000049,Metabolism
SPU_000050,Unclassified
SPU_000052,Metabolism
SPU_000055,Metabolism
SPU_000057,ImmuneSystem
SPU_000060,Unclassified
SPU_000062,Cytoskeleton
SPU_000063,Metabolism
SPU_000064,CalciumToolkit
SPU_000067,Hydrolase
SPU_000068,Metabolism
SPU_000070,BloodProtein
SPU_000071,Unclassified
SPU_000073,ImmuneSystem
SPU_000075,Metalloprotease
SPU_000076,Nervous
SPU_000077,Metabolism
SPU_000078,Nervous
SPU_000079,Nervous
SPU_000080,Hydrolase
SPU_000084,Unclassified
SPU_000085,Nervous
SPU_000088,Ubiquitin
SPU_000089,Unclassified
SPU_000090,Nervous
SPU_000092,Metabolism
SPU_000093,Histone
SPU_000095,Unclassified
SPU_000096,Cytoskeleton
SPU_000098,Unclassified
SPU_000099,Annexin
SPU_000100,Unclassified
SPU_000101,Unclassified
SPU_000105,Fertilization
SPU_000107,Transferase
SPU_000110,Metabolism
SPU_000111,Transferase
SPU_000112,Cytoskeleton
SPU_000114,Transferase
SPU_000116,Metabolism
SPU_000117,Metabolism
SPU_000118,Hydrolase
SPU_000121,NucleicAcid
SPU_000126,ImmuneSystem
SPU_000128,Cytoskeleton
SPU_000129,Defensome
SPU_000135,ZincFinger
SPU_000136,Metabolism
SPU_000137,Unclassified
SPU_000141,Lectin
SPU_000142,Adhesion
SPU_000145,Apoptosis
SPU_000146,NuclearTransport
SPU_000148,Nervous
SPU_000150,Hydrolase
SPU_000151,CellCycle
SPU_000152,Unclassified
SPU_000153,Hydrolase
SPU_000154,Nervous
SPU_000155,Hydrolase
SPU_000159,Adhesion
SPU_000163,Defensome
SPU_000164,Lectin
SPU_000167,Metabolism
SPU_000168,GTPase
SPU_000169,Unclassified
SPU_000170,Unclassified
SPU_000171,Unclassified
SPU_000172,Metabolism
SPU_000173,Metabolism
SPU_000174,Metabolism
SPU_000175,Unclassified
SPU_000176,Unclassified
SPU_000177,Metabolism
SPU_000178,Nervous
SPU_000181,NucleicAcid
SPU_000186,Adhesion
SPU_000187,Transferase
SPU_000188,Unclassified
SPU_000189,Unclassified
SPU_000191,Metabolism
SPU_000192,Lectin
SPU_000194,ViralProtein
SPU_000195,Unclassified
SPU_000196,Unclassified
SPU_000197,ATPase
SPU_000199,ImmuneSystem
SPU_000202,GTPase
SPU_000206,GTPase
SPU_000207,Metabolism
SPU_000208,Signaling
SPU_000209,Ligase
SPU_000210,DNA
SPU_000211,Phosphatase
SPU_000212,NucleicAcid
SPU_000214,Metabolism
SPU_000218,Metalloprotease
SPU_000219,Unclassified
SPU_000220,Annexin
SPU_000222,ImmuneSystem
SPU_000223,Transporter
SPU_000225,Unclassified
SPU_000226,DNA
SPU_000227,Transferase
SPU_000228,ExtracellularMatrix
SPU_000229,Unclassified
SPU_000231,NucleicAcid
SPU_000234,Unclassified
SPU_000236,Metabolism
SPU_000237,Nervous
SPU_000238,Histone
SPU_000239,Unclassified
SPU_000240,Ubiquitin
SPU_000241,Cytoskeleton
SPU_000243,Unclassified
SPU_000244,Kinase
SPU_000247,Unclassified
SPU_000251,Golgi
SPU_000253,GTPase
SPU_000255,Nervous
SPU_000256,Metabolism
SPU_000257,GTPase
SPU_000258,GTPase
SPU_000259,GTPase
SPU_000260,Hydrolase
SPU_000263,Metabolism
SPU_000264,Transferase
SPU_000267,DNA
SPU_000268,Homolog-of-gene-with-unknown-function
SPU_000269,Unclassified
SPU_000270,NuclearTransport
SPU_000273,Annexin
SPU_000275,Metabolism
SPU_000277,Ligase
SPU_000279,ElectronTransfer
SPU_000281,Defensome
SPU_000283,Unclassified
SPU_000285,Signaling
SPU_000286,Unclassified
SPU_000288,Metabolism
SPU_000289,Lectin
SPU_000290,Lectin
SPU_000292,Translation
SPU_000293,Oxidoreductase
SPU_000294,Lectin
SPU_000295,Unclassified
SPU_000296,Cytoskeleton
SPU_000301,Metabolism
SPU_000303,GTPase
SPU_000304,Transport
SPU_000305,Unclassified
SPU_000306,Histone
SPU_000307,Histone
SPU_000308,GTPase
SPU_000309,Transporter
SPU_000310,CalciumToolkit
SPU_000311,Unclassified
SPU_000312,CellCycle
SPU_000313,Unclassified
SPU_000314,CalciumToolkit
SPU_000315,Unclassified
SPU_000316,Phosphatase
SPU_000317,Transferase
SPU_000318,Ligase
SPU_000319,Unclassified
SPU_000321,Metabolism
SPU_000323,Hydrolase
SPU_000324,Metabolism
SPU_000325,Unclassified
SPU_000326,Unclassified
SPU_000327,Unclassified
SPU_000328,CellCycle
SPU_000330,Signaling
SPU_000334,Metabolism
SPU_000337,ImmuneSystem
SPU_000338,Dehydrogenase
SPU_000341,Homolog-of-gene-with-unknown-function
SPU_000343,Unclassified
SPU_000345,Unclassified
SPU_000346,Adhesion
SPU_000347,Transferase
SPU_000348,Ligase
SPU_000349,Ligase
SPU_000354,Transmembrane
SPU_000355,Transferase
SPU_000356,Unclassified
SPU_000357,Transferase
SPU_000359,Transferase
SPU_000362,Metabolism
SPU_000364,Metabolism
SPU_000366,Histone
SPU_000367,Transporter
SPU_000368,Nervous
SPU_000369,Nervous
SPU_000370,Nervous
SPU_000371,Signaling
SPU_000373,Transferase
SPU_000374,Nervous
SPU_000375,ImmuneSystem
SPU_000376,Unclassified
SPU_000379,Translation
SPU_000382,Hydrolase
SPU_000383,Metabolism
SPU_000389,Kinase
SPU_000392,Unclassified
SPU_000393,Unclassified
SPU_000394,Cytoskeleton
SPU_000395,Translation
SPU_000396,Transferase
SPU_000402,Transmembrane
SPU_000404,Chaperone
SPU_000405,NucleicAcid
SPU_000406,Adhesion
SPU_000409,ImmuneSystem
SPU_000410,Unclassified
SPU_000412,Unclassified
SPU_000413,Nervous
SPU_000416,Hydrolase
SPU_000417,Metabolism
SPU_000423,SensoryGPCR
SPU_000425,Unclassified
SPU_000426,Hydrolase
SPU_000427,Unclassified
SPU_000428,ImmuneSystem
SPU_000429,Ubiquitin
SPU_000432,Cytoskeleton
SPU_000433,Adhesion
SPU_000435,CalciumToolkit
SPU_000436,Defensome
SPU_000437,ZincFinger
SPU_000440,ZincFinger
SPU_000441,ImmuneSystem
SPU_000442,CalciumToolkit
SPU_000444,Transferase
SPU_000445,Histone
SPU_000446,Adhesion
SPU_000447,Metabolism
SPU_000448,Nervous
SPU_000450,Channel
SPU_000451,Homolog-of-gene-with-unknown-function
SPU_000452,Apoptosis
SPU_000453,Adhesion
SPU_000454,Adhesion
SPU_000455,Metabolism
SPU_000456,Ligase
SPU_000457,ImmuneSystem
SPU_000458,Metabolism
SPU_000459,Histone
SPU_000460,DNA
SPU_000462,Nervous
SPU_000463,Metabolism
SPU_000464,Histone
SPU_000465,Histone
SPU_000466,Histone
SPU_000467,Histone
SPU_000468,CellCycle
SPU_000470,Chaperone
SPU_000471,Metabolism
SPU_000472,Transporter
SPU_000474,Histone
SPU_000475,Annexin
SPU_000476,Unclassified
SPU_000477,Unclassified
SPU_000480,ZincFinger
SPU_000483,ZincFinger
SPU_000484,ElectronTransfer
SPU_000486,Hydrolase
SPU_000491,Phosphatase
SPU_000492,ImmuneSystem
SPU_000497,Phosphatase
SPU_000498,SensoryGPCR
SPU_000499,Unclassified
SPU_000502,mRNA
SPU_000503,GTPase
SPU_000504,Unclassified
SPU_000505,NucleicAcid
SPU_000506,GTPase
SPU_000508,CalciumToolkit
SPU_000509,Signaling
SPU_000510,Translation
SPU_000512,Fertilization
SPU_000513,Fertilization
SPU_000514,Kinase
SPU_000518,Hydrolase
SPU_000519,Hydrolase
SPU_000520,Hydrolase
SPU_000522,Defensome
SPU_000523,ImmuneSystem
SPU_000525,Adhesion
SPU_000526,Oogenesis
SPU_000527,Unclassified
SPU_000528,Metabolism
SPU_000530,Nervous
SPU_000532,Adhesion
SPU_000533,Adhesion
SPU_000535,Unclassified
SPU_000536,Unclassified
SPU_000537,Unclassified
SPU_000538,Adhesion
SPU_000539,Unclassified
SPU_000540,ZincFinger
SPU_000541,Oxidase
SPU_000543,Lectin
SPU_000544,DNA
SPU_000545,Unclassified
SPU_000547,Adhesion
SPU_000548,Unclassified
SPU_000551,Unclassified
SPU_000552,GTPase
SPU_000554,Adhesion
SPU_000555,Transferase
SPU_000561,Transferase
SPU_000563,Kinase
SPU_000564,Unclassified
SPU_000566,Metalloprotease
SPU_000567,Metalloprotease
SPU_000569,DNA
SPU_000574,ExtracellularMatrix
SPU_000576,Nervous
SPU_000577,ImmuneSystem
SPU_000578,ZincFinger
SPU_000580,ImmuneSystem
SPU_000582,Unclassified
SPU_000583,Unclassified
SPU_000584,Adhesion
SPU_000586,Metabolism
SPU_000590,Metabolism
SPU_000594,Metabolism
SPU_000595,GTPase
SPU_000596,Unclassified
SPU_000597,Metabolism
SPU_000599,Kinase
SPU_000601,NucleicAcid
SPU_000603,ZincFinger
SPU_000605,Nervous
SPU_000607,Metabolism
SPU_000609,Histone
SPU_000610,Unclassified
SPU_000611,CalciumToolkit
SPU_000612,Unclassified
SPU_000614,Chaperone
