"SPU_hit","SPU_common_name","GO","SPU_description","GID"
"SPU_006583","Sp-Mad","GO:0000978","max interacting protein (MXI), max dimerization protein (MXD)","HER_8037.t1"
"SPU_000276","Sp-PaxC","GO:0000978","paired box C","HER_44473.t1"
"SPU_000388","Sp-Hox11/13c","GO:0000978","homeobox 11/13c","HER_21404.t1"
"SPU_000388","Sp-Hox11/13c","GO:0000978","homeobox 11/13c","HER_40066.t1"
"SPU_000485","Sp-Chx10","GO:0000981","ceh-10 homeodomain containing homolog, Vsx1/2, visual system homeobox","HER_19342.t1"
"SPU_000485","Sp-Chx10","GO:0000981","ceh-10 homeodomain containing homolog, Vsx1/2, visual system homeobox","HER_19349.t1"
"SPU_000756","Sp-Nkx2-2","GO:0000978","NK2 homeobox 2, Sp-Nk2-2, Sp-NK2.2","HER_18389.t1"
"SPU_000948","Sp-Lass6","GO:0003677","ceramide synthetase-like, Cers2/3/4/5/6-like, LAG1 longevity assurance homolog, Lass2/3/4/5/6-like","HER_31289.t1"
"SPU_000948","Sp-Lass6","GO:0003677","ceramide synthetase-like, Cers2/3/4/5/6-like, LAG1 longevity assurance homolog, Lass2/3/4/5/6-like","HER_31289.t1.1.5f2c6ad9"
"SPU_000975","Sp-FoxF","GO:0000978","forkhead box F","HER_45924.t1"
"SPU_001519","Sp-Barx","GO:0000981","BarH-like homeobox, BARX homeobox, Sp-Barx_1","HER_41986.t1"
"SPU_001739","Sp-Unc4.1_1","GO:0000977","UNC homeobox (duplicate), Uncx, Uncx4.1, Sp-Unc4-1","HER_15596.t1"
"SPU_001739","Sp-Unc4.1_1","GO:0000981","UNC homeobox (duplicate), Uncx, Uncx4.1, Sp-Unc4-1","HER_15597.t1"
"SPU_001739","Sp-Unc4.1_1",NA,"UNC homeobox (duplicate), Uncx, Uncx4.1, Sp-Unc4-1","HER_21929.t1"
"SPU_001739","Sp-Unc4.1_1",NA,"UNC homeobox (duplicate), Uncx, Uncx4.1, Sp-Unc4-1","HER_21935.t1"
"SPU_001739","Sp-Unc4.1_1",NA,"UNC homeobox (duplicate), Uncx, Uncx4.1, Sp-Unc4-1","HER_27602.t1"
"SPU_001739","Sp-Unc4.1_1",NA,"UNC homeobox (duplicate), Uncx, Uncx4.1, Sp-Unc4-1","HER_30755.t1"
"SPU_001739","Sp-Unc4.1_1",NA,"UNC homeobox (duplicate), Uncx, Uncx4.1, Sp-Unc4-1","HER_39144.t1"
"SPU_002129","Sp-Not","GO:0000978","notochord homeobox-like, Noto, flh","HER_9078.t1"
"SPU_002320","Sp-FoxN1/4","GO:0000976","forkhead box N1/4","HER_33825.t1"
"SPU_002448","Sp-SageL",NA,"salivary gland expressed bHLH-like, Sp-Sage","HER_47157.t1"
"SPU_002448","Sp-SageL",NA,"salivary gland expressed bHLH-like, Sp-Sage","HER_47166.t1"
"SPU_002630","Sp-Hox8_1","GO:0000978","homeobox 8 (second model)","HER_40062.t1"
"SPU_002631","Sp-Hox11/13b",NA,"homeobox 11/13b","HER_40064.t1"
"SPU_002631","Sp-Hox11/13b","GO:0000981","homeobox 11/13b","HER_40065.t1"
"SPU_002632","Sp-Hox11/13a","GO:0000978","homeobox 11/13a","HER_40063.t1"
"SPU_002634","Sp-Hox7","GO:0000978","homeobox 7, Sp-Hox7_1","HER_40059.t1"
"SPU_002677","Sp-Ptf1a","GO:0000977","pancreas specific transcription factor 1a-like, Sp-Ptf","HER_30998.t1"
"SPU_002816","Sp-Hb9","GO:0000981","homeobox HB9, HlxB9, Mnx1, motor neuron and pancreas homeobox 1","HER_39663.t1_HER_39664.t1"
"SPU_002874","Sp-Ets1/2","GO:0000981","v-ets erythroblastosis virus E26 oncogene homolog 1/2-like, pointed (pnt) homolog","HER_43627.t1"
"SPU_003548","Sp-E78a","GO:0003700","ecdysone-induced protein 78C (Drosophila)-like (partial), NR1E1-like","HER_12575.t1"
"SPU_003548","Sp-E78a","GO:0003700","ecdysone-induced protein 78C (Drosophila)-like (partial), NR1E1-like","HER_12575.t2"
"SPU_003548","Sp-E78a","GO:0003700","ecdysone-induced protein 78C (Drosophila)-like (partial), NR1E1-like","HER_12575.t2.1.5f2c6922"
"SPU_003548","Sp-E78a","GO:0003700","ecdysone-induced protein 78C (Drosophila)-like (partial), NR1E1-like","HER_12575.t2.2.5f2c6922"
"SPU_003548","Sp-E78a","GO:0003700","ecdysone-induced protein 78C (Drosophila)-like (partial), NR1E1-like","HER_12575.t2.3.5f2c6922"
"SPU_003595","Sp-Cutl","GO:0000977","cut-like homeobox, CDP, Sp-Cux","HER_1757.t1"
"SPU_004021","Sp-Lhx2_1","GO:0000977","LIM homeobox 2, Sp-Limc1, Sp-Lim-c1","HER_47770.t1"
"SPU_004021","Sp-Lhx2_1","GO:0000977","LIM homeobox 2, Sp-Limc1, Sp-Lim-c1","HER_47788.t1"
"SPU_004844","Sp-Lztfl1_1","GO:0005737","leucine zipper transcription factor-like protein 1, Sp-Lztf1_1","HER_37549.t1"
"SPU_005022","Sp-Ahr","GO:0000976","aryl hydrocarbon receptor, spineless (ss) homolog, Sp-Ahr_1","HER_34637.t1"
"SPU_005169","Sp-Hox5",NA,"homeobox 5","HER_40054.t1"
"SPU_005169","Sp-Hox5","GO:0000978","homeobox 5","HER_40055.t1"
"SPU_005171","Sp-Hox6","GO:0000978","homeobox 6","HER_40057.t1"
"SPU_005472","Sp-Nkx2-5",NA,"NK2 homeobox 5-like, Sp-Nkx2.5, Sp-NK2.5","HER_9151.t1"
"SPU_005472","Sp-Nkx2-5","GO:0000978","NK2 homeobox 5-like, Sp-Nkx2.5, Sp-NK2.5","HER_9152.t1"
"SPU_005787","Sp-Mlx","GO:0000978","Max-like protein X, bigmax homolog","HER_38283.t1"
"SPU_006150","Sp-Tbx1","GO:0000978","T-box 1-like, Tbx1/10-like","HER_1263.t1"
"SPU_006150","Sp-Tbx1","GO:0000978","T-box 1-like, Tbx1/10-like","HER_1263.t2"
"SPU_006232","Sp-MyoD2","GO:0000978","myogenic differentiation 1-like 2, nautilus homolog","HER_26536.t1"
"SPU_006462","Sp-Gcm","GO:0000978","glial cells missing homolog, Gcm1/2-like","HER_3088.t1"
"SPU_006462","Sp-Gcm","GO:0000978","glial cells missing homolog, Gcm1/2-like","HER_3090.t1"
"SPU_006462","Sp-Gcm","GO:0000978","glial cells missing homolog, Gcm1/2-like","HER_3093.t1"
"SPU_006462","Sp-Gcm","GO:0000978","glial cells missing homolog, Gcm1/2-like","HER_3097.t1"
"SPU_006462","Sp-Gcm","GO:0000978","glial cells missing homolog, Gcm1/2-like","HER_3098.t1"
"SPU_006462","Sp-Gcm","GO:0000978","glial cells missing homolog, Gcm1/2-like","HER_3101.t1"
"SPU_006676","Sp-FoxA","GO:0000978","forkhead box A, fkh, HNF3","HER_17677.t1"
"SPU_006808","Sp-Af9","GO:0003682","Af9-like, ENL-like, Mllt1/3","HER_10280.t1"
"SPU_007242","Sp-Rough","GO:0000978","rough, ro, Sp-Ro","HER_40350.t1"
"SPU_007253","Sp-Srebp","GO:0000978","sterol regulatory element binding protein/factor, Srebf, Sp-bHLHB1","HER_49935.t1"
"SPU_007389","Sp-Mta1","GO:0000122","metastasis associated 1-like, Mta1/2/3-like","HER_18112.t1"
"SPU_007389","Sp-Mta1","GO:0000122","metastasis associated 1-like, Mta1/2/3-like","HER_18112.t2"
"SPU_007749","Sp-Atf6","GO:0000978","activating transcription factor 6-like, cAMP-dependent transcription factor ATF-6 -like, Atf6a/b, Sp-Atf6b","HER_46809.t1"
"SPU_007749","Sp-Atf6","GO:0000978","activating transcription factor 6-like, cAMP-dependent transcription factor ATF-6 -like, Atf6a/b, Sp-Atf6b","HER_46829.t1"
"SPU_007981","Sp-Lmpt","GO:0003712","limpet, Fhl2/3/5-like","HER_36900.t1"
"SPU_007981","Sp-Lmpt","GO:0003712","limpet, Fhl2/3/5-like","HER_36902.t1"
"SPU_007981","Sp-Lmpt","GO:0008270","limpet, Fhl2/3/5-like","HER_36905.t1"
"SPU_008112","Sp-Phd1","GO:0000977","paired homeodomain 1, Sp-Phb1","HER_38342.t1"
"SPU_008528","Sp-Ets4","GO:0000981","SAM pointed domain containing ets transcription factor-like, Spdef, PDEF","HER_12747.t1"
"SPU_008528","Sp-Ets4","GO:0000981","SAM pointed domain containing ets transcription factor-like, Spdef, PDEF","HER_12747.t1.1.5f2c6926"
"SPU_008528","Sp-Ets4","GO:0000981","SAM pointed domain containing ets transcription factor-like, Spdef, PDEF","HER_12747.t1.1.5f2d72f6"
"SPU_008528","Sp-Ets4","GO:0000981","SAM pointed domain containing ets transcription factor-like, Spdef, PDEF","HER_12747.t1.2.5f2d72f6"
"SPU_008703","Sp-Xbp1","GO:0000977","X-box binding protein 1","HER_827.t1"
"SPU_008703","Sp-Xbp1",NA,"X-box binding protein 1","HER_828.t1"
"SPU_008845","Sp-Mlxip","GO:0000978","MLX interacting protein(-like), Mlx interactor (Mio) homolog, Mondo, CHREBP-like, Sp-Mlx/Ip, Sp-MlxIPL","HER_2366.t1"
"SPU_008845","Sp-Mlxip","GO:0000978","MLX interacting protein(-like), Mlx interactor (Mio) homolog, Mondo, CHREBP-like, Sp-Mlx/Ip, Sp-MlxIPL","HER_2381.t1_HER_2382.t1"
"SPU_009231","Sp-Nscl","GO:0000978","nescient helix-loop-helix, Nhlh1/2-like, Hen-like, Sp-Ncsl, Sp-Nhlh","HER_42477.t1"
"SPU_009231","Sp-Nscl","GO:0000978","nescient helix-loop-helix, Nhlh1/2-like, Hen-like, Sp-Ncsl, Sp-Nhlh","HER_42488.t1"
"SPU_009262","Sp-Oct1/2","GO:0000978","POU class 2 homeobox, Pou2F, major octamer-binding protein, Oct1/2/11, Sp-Oct1-2, Sp-oct1.2, Sp-Hypp_1837","HER_42755.t1"
"SPU_009262","Sp-Oct1/2","GO:0000978","POU class 2 homeobox, Pou2F, major octamer-binding protein, Oct1/2/11, Sp-Oct1-2, Sp-oct1.2, Sp-Hypp_1837","HER_42755.t1.1.5f2c6b17"
"SPU_009413","Sp-Nxf",NA,"neuronal PAS domain-containing protein 4-like, dysfusion homolog, Le-PAS, Sp-Nxf","HER_17421.t1"
"SPU_009413","Sp-Nxf","GO:0000977","neuronal PAS domain-containing protein 4-like, dysfusion homolog, Le-PAS, Sp-Nxf","HER_17422.t1"
"SPU_009876","Sp-FoxP","GO:0000978","forkhead box P","HER_39030.t1"
"SPU_009876","Sp-FoxP","GO:0000978","forkhead box P","HER_39030.t2"
"SPU_009876","Sp-FoxP","GO:0000978","forkhead box P","HER_39030.t3"
"SPU_009876","Sp-FoxP","GO:0000978","forkhead box P","HER_39030.t4"
"SPU_010403","Sp-FoxY","GO:0000978","forkhead box Y, forkhead\nC-like","HER_11562.t1"
"SPU_010403","Sp-FoxY","GO:0000978","forkhead box Y, forkhead\nC-like","HER_11563.t1"
"SPU_010403","Sp-FoxY","GO:0000978","forkhead box Y, forkhead\nC-like","HER_11563.t2"
"SPU_010403","Sp-FoxY","GO:0000978","forkhead box Y, forkhead\nC-like","HER_11568.t1"
"SPU_010403","Sp-FoxY","GO:0000978","forkhead box Y, forkhead\nC-like","HER_11568.t2"
"SPU_010635","Sp-Gatae","GO:0000122","GATA binding protein E, SpGatae, SpGata-e, Gata4/5/6-like","HER_23477.t1"
"SPU_010635","Sp-Gatae","GO:0000122","GATA binding protein E, SpGatae, SpGata-e, Gata4/5/6-like","HER_23477.t2"
"SPU_010635","Sp-Gatae","GO:0000122","GATA binding protein E, SpGatae, SpGata-e, Gata4/5/6-like","HER_23478.t1"
"SPU_010635","Sp-Gatae","GO:0000122","GATA binding protein E, SpGatae, SpGata-e, Gata4/5/6-like","HER_23478.t2"
"SPU_010635","Sp-Gatae","GO:0005634","GATA binding protein E, SpGatae, SpGata-e, Gata4/5/6-like","HER_5953.t1"
"SPU_011080","Sp-SoxH","GO:0000978","info  SRY (sex determining region Y)-box H","HER_8898.t1"
"SPU_011246","Sp-IrxB","GO:0000978","iroquois homeobox B","HER_21192.t1"
"SPU_011576","Sp-Nr1m2","GO:0000978","nuclear receptor subfamily 1 group M member 2, NR1-like","HER_667.t1"
"SPU_011635","Sp-FoxJ2_1","GO:0000978","forkhead box J2 and J3-like, FoxJ2/3","HER_29103.t1"
"SPU_012008","Sp-MyoR2","GO:0000977","musculin/myogenic repressor-like, Msc-like, transcription factor 21-like, Sp-Tcf21L","HER_3019.t1"
"SPU_012122","Sp-Pknox","GO:0000978","PBX/knotted 1 homeobox, Prep","HER_41039.t1"
"SPU_012122","Sp-Pknox","GO:0000978","PBX/knotted 1 homeobox, Prep","HER_41039.t2"
